recipe_name,diet,prep_time_mins,cook_time_mins,course,cuisine,translated_ingredients,url
And fish soup recipe - Bengali style fish in tomato gravy,High Protein Non Vegetarian,5,15,Dinner,Bengali Recipes,"600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1 Tomato - finely chopped,2 Bay leaves (tej patta),1-1/2 tablespoons Ginger - paste,4 Green Chillies - coarsely crushed,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit lengthwise,Mustard oil - as required,1-1/4 cups Water - add 2 cups if you like a loose gravy,Sugar - a pinch (optional),1 tablespoon Coriander (Dhania) Leaves - optional",https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-style-fish-in-spicy-tomato-gravy
Saunf Aloo (Fennel Potato Curry) Recipe,Vegetarian,10,15,Lunch,Punjabi,"5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/4 cup Fresh cream - or 1/2 cup milk,4 sprig Coriander (Dhania) Leaves - finely chopped",https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),Vegetarian,20,20,Side Dish,South Indian Recipes,"2 onions, 1 teaspoon cumin seeds, 2 tablespoons black urad dal (split), 1 tablespoon tamarind paste, 3 dry red chillies, 1/2 teaspoon jaggery, 2 teaspoons oil, salt - 1 teaspoon, as per taste Rye, 1 sprig curry leaves, 1/2 teaspoon oil",http://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Eggetarian,15,20,Lunch,Indian,"4 Whole Eggs - boiled,1 Cinnamon Stick (Dalchini) - small,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Sunflower Oil,2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,2 cups Coriander (Dhania) Leaves - tightly packed,1 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - chopped,1 Onion - roughly chopped,1 inch Ginger - chopped,4 cloves Garlic",https://www.archanaskitchen.com/hariyali-egg-curry-recipe-in-coriander-and-mint-gravy
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Vegetarian,15,15,Side Dish,Indian,"2 cups curd, 1 cup gourd - peel and tighten, 1 cucumber - peel and grind, 1 green - finely chopped, 1 green coriander - little, 1/2 teaspoon cumin powder, salt - as per taste",http://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,Vegetarian,15,45,Dinner,Chettinad,"1 cup rice - wash well in water, 12 small onions - finely chopped, 2 cloves garlic - tighten, 1 inch ginger - tighten, 2 green chillies - straight and thin cut, 1 bay leaf - break , 1 tsp red chilli powder, 1 tsp turmeric powder, 1 carrot - chop, 12 green beans - chop, 2 potatoes - peel and chop, ghee - as per use, 2 cloves, 1 inch cinnamon, 1 tsp fennel , 1 tsp whole pepper, 1 tsp coriander seeds, 1/4 cup green peas - steam, 1/4 cup mint leaves - finely chopped",https://www.archanaskitchen.com/chettinad-vegetable-pulao-recipe-with-kohinoor-silver-basmati-rice-in-hindi
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,Vegetarian,5,10,Side Dish,Tamil Nadu,"8 amla, 6 small onions, 10 bud garlic, 2 green chillies, 1/2 cup mint, 1/2 cup coriander, salt - as per taste, 1 tsp oil, 1 tsp oil, 1/2 tsp rye, 1/4 tsp urad dal, 1/4 tsp chana dal, 1 sprig curry leaves, 10 cashew nuts",http://www.archanaskitchen.com/lehsun-amla-chutney-recipe-garlic-gooseberry-chutney-in-hindi
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,Diabetic Friendly,30,30,Indian Breakfast,Maharashtrian Recipes,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth",http://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,Vegetarian,30,15,Side Dish,South Indian Recipes,"5 Drumstick - cut into 3 inch pieces,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 sprig Curry leaves,1 teaspoon Mustard seeds,2 teaspoons Coconut Oil,2 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Water - as needed",http://www.archanaskitchen.com/murungakkai-poriyal-recipe-south-indian-style-drumstick-stir-fry
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Vegetarian,15,10,Snack,Indian,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few",https://www.archanaskitchen.com/mango-saffron-lassi-recipe
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,Vegetarian,5,20,Snack,Chettinad,"1 cup idli dosa mixture, 4 tablespoons rice rava, 1/3 cup jaggery, 3 tablespoons coconut - grated, 1 tablespoon of cardamom powder, salt - as per taste, water - as per use, oil - as per use",http://www.archanaskitchen.com/chettinad-sweet-paniyaram-recipe-in-hindi
Mini Dal Samosa Curry / Sabzi Recipe,Vegetarian,5,30,Lunch,North Indian Recipes,"3 Cardamom (Elaichi) Pods/Seeds,6 Whole Black Peppercorns,1/2 inch Cinnamon Stick (Dalchini),3 cloves Cloves (Laung),1 Mace (Javitri),1 Bay leaf (tej patta),1 Black cardamom (Badi Elaichi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,6 Samosas - mini,15 Cashew nuts,1 Green Chilli,1 Onion - roughly chopped,2 Tomato - roughly chopped,1/2 inch Ginger,1/2 teaspoon Sugar,1 tablespoon Fresh cream,2 tablespoons Sunflower Oil",http://www.archanaskitchen.com/mini-dal-samosa-curry-recipe
Mini Dal Mature Chat Recipe - That Perfect Party Snack,Vegetarian,20,45,Appetizer,Sindhi,"1 cup Whole Wheat Flour,1 cup All Purpose Flour (Maida),1 teaspoon Ajwain (Carom seeds),1 teaspoon Cumin seeds (Jeera),2 tablespoons Ghee,Salt - as needed,Sunflower Oil - for deep frying,1 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Sugar,Salt - as needed,1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,1 sprig Curry leaves,1/4 cup Sweet Chutney (Date & Tamarind),1/4 cup Green Chutney (Coriander & Mint),1 Onion - finely chopped,1/2 cup Fresh Pomegranate Fruit Kernels,1/4 cup Sev",https://www.archanaskitchen.com/mini-dal-pakwan-chaat-recipe-a-perfect-party-snack
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,Diabetic Friendly,30,35,Lunch,South Indian Recipes,"1/2 cup Sundkai, 1/4 cup fenugreek, 1/2 cup Arhar dal - boiled and mashed, 1/2 Tomato, 1 Tamarind, 1/2 tsp Turmeric Powder, 2 tsp Sambar Powder, 1 tsp Coriander Powder, 1/2 teaspoon mustard, 1/4 teaspoon cumin seeds, 1 dry red chili, 1/4 teaspoon asafoetida, oil - as per use, salt - as per taste, curry leaves - little, green coriander - little, water - According to use",https://www.archanaskitchen.com/sundakkai-and-methi-leaves-sambar-recipe-in-hindi
Matar Samosa Recipe -Green Pea Samosa,Vegetarian,45,10,Snack,North Indian Recipes,"1 cup All Purpose Flour (Maida),2 tablespoons Ghee,1/2 teaspoon Salt,Sunflower Oil - for deep frying,2 tablespoons Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Green Chilli Sauce,1/2 teaspoon Cinnamon Powder (Dalchini),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon Amchur (Dry Mango Powder),1-1/2 cups Green peas (Matar) - steamed and mashed,Salt - to taste,2 teaspoon All Purpose Flour (Maida),1/4 cup Water",https://www.archanaskitchen.com/matar-samosa-recipe-green-pea-samosa
Kerala pala pradham recipe,Vegetarian,15,75,Dessert,Kerala Recipes,"1 cup Ada,2 liter Milk - full cream,3/4 cup Sugar,1 tablespoon Ghee,1/2 teaspoon Cardamom Powder (Elaichi)",https://www.archanaskitchen.com/kerala-palada-pradhaman-recipe
Tindora Sambharo Recipe - Instant Tendli Pickle,Vegetarian,20,15,Side Dish,Gujarati Recipes﻿,"1 cup Tindora (Dondakaya/ Kovakkai) - finely chopped,1 teaspoon Red Chilli powder,1/4 teaspoon Split Methi Seeds (Methi Kuria),1/2 teaspoon Split Mustard Seeds (Rai Kuria),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 tablespoon Sunflower Oil,Lemon - juice extracted,Salt - to taste",https://www.archanaskitchen.com/tindora-sambharo-recipe-instant-tendli-pickle
Chettinad Style Chicken Roast Recipe,High Protein Non Vegetarian,15,20,Appetizer,Chettinad,"1 Chicken legs,1/4 cup Hung Curd (Greek Yogurt),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Sunflower Oil,1 Onion - sliced,4 cloves Garlic,1/2 inch Ginger,2 tablespoon Fresh coconut - grated,2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Whole Black Peppercorns,2 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Mustard seeds,1 tablespoon Ghee,1 teaspoon Tamarind Paste,1 teaspoon Jaggery,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1 sprig Curry leaves,4 cloves Garlic",https://www.archanaskitchen.com/chettinad-style-chicken-roast-recipe
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,Vegetarian,5,20,Side Dish,Tamil Nadu,"1 cup Jackfruit Seeds (Kathal),1 cup Tamarind Water,8 cloves Garlic,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),8 Curry leaves,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,2 teaspoons Sambar Powder,1/4 teaspoon Asafoetida (hing),Coriander (Dhania) Leaves - small bunch,Salt - to taste,2 teaspoons Sunflower Oil,1/2 cup Fresh coconut,10 Whole Black Peppercorns,2 Dry Red Chillies,1 Onion - chopped,1 Tomato - chopped,1 teaspoon Coriander (Dhania) Seeds,1 teaspoon Sunflower Oil",http://www.archanaskitchen.com/palakottai-kuzhambu-recipe-kongunad-style-jackfruit-seeds-curry
Baingan Bharta Recipe - Brinjal Bharta Recipe,Vegetarian,25,35,Side Dish,Punjabi,"1 eggplant, 2 inch ginger - peel and tighten, 1 onion - finely chopped, 1 tomato - chopped, 2 green chillies - finely chopped, 1 teaspoon turmeric powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter, 1 teaspoon red chili powder, salt - as per taste, 1 tablespoon oil, 2 sprigs of coriander - finely chopped (for garnish)",http://www.archanaskitchen.com/baingan-bharta-recipe-in-hindi
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,Vegetarian,0,10,North Indian Breakfast,North Indian Recipes,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more",http://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,Vegetarian,5,30,Side Dish,Tamil Nadu,"1 raw mango - chop big, 1 cup tamarind water, 1 tablespoon jaggery, 1 tablespoon sambar powder, 1 teaspoon turmeric powder, 1/2 teaspoon salt, 1 teaspoon mustard, asafoetida - a pinch, 1 Sprig Curry leaves, 2 dry red chillies, oil - as per use",http://www.archanaskitchen.com/pacha-manga-pachadi-recipe-tamil-nadu-raw-mango-pachadi-in-hindi
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,Vegetarian,10,45,Lunch,Coorg,"10 Jackfruit Seeds (Kathal),1 cup Kala Chana (Brown Chickpeas) - soaked overnight,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 Tomato - chopped,1/2 cup Tamarind Water,1 teaspoon Turmeric powder (Haldi),4 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/2 cup Fresh coconut,1 inch Ginger,4 cloves Garlic",https://www.archanaskitchen.com/kodava-style-mudi-chekke-barthad-recipe-raw-jackfruit-black-chickpea-stir-fry
Whole Wheat Crepe Recipe With Herbed Vegetables,Vegetarian,10,45,Lunch,Coorg,"1 cup Whole Wheat Flour,1 pinch Salt,1 teaspoon Italian seasoning,1/4 cup Cheese spread - flavoured,1 Broccoli - cut into florets,1 Onion - thinly sliced,1 Red Bell pepper (Capsicum) - diced,Salt - to taste,2 sprig Parsley leaves - roughly chopped",http://www.archanaskitchen.com/whole-wheat-crepe-recipe-with-herbed-vegetables
Makki and Methi Roti Recipe,Vegetarian,10,20,Lunch,Punjabi,"2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Ajwain (Carom seeds),1 tablespoon Kashmiri Red Chilli Powder,Salt - to taste",https://www.archanaskitchen.com/makki-and-methi-roti-recipe
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,Vegetarian,10,20,Lunch,Gujarati Recipes﻿,"3 Carrots (Gajjar) - grated,3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 Green Bell Pepper (Capsicum) - thinly sliced,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,3 Green Chillies - slit lengthwise",http://www.archanaskitchen.com/cabbage-and-carrot-sambharo-recipe-gujarati-vegetable-stirfry
Andhra Steel Tomato Knock Recipe (Tomato Chutney),Vegetarian,15,60,Side Dish,Andhra,"1 kg Tomatoes,8 Dry Red Chillies - adjustable,1 teaspoon Tamarind Paste,2 teaspoons Red Chilli powder - optional,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),8 cloves Garlic,Sunflower Oil,Salt - to taste",http://www.archanaskitchen.com/andhra-style-tamati-pachadi-recipe-tomato-chutney
Aamras Recipe - Ripe Mango Ras,Vegan,10,5,Side Dish,North Indian Recipes,"3 cups Mango (Ripe) - cut into pieces,1/4 cup Water,Sugar - optional",http://www.archanaskitchen.com/gujarati-aamras-recipe-a-delicious-mango-pulp
Rajasthani very roti recipe,Vegetarian,20,25,Lunch,Rajasthani,"1 cup Whole Wheat Flour,Salt - to taste,Water - as required,Ghee - as required",http://www.archanaskitchen.com/rajasthani-khooba-roti-recipe
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),Vegetarian,15,10,Side Dish,South Indian Recipes,"2 cups Ridge Gourd Skin (Turai/ Peerkangai),2 teaspoons White Urad Dal (Split),5 Methi Seeds (Fenugreek Seeds),3 Dry Red Chillies,10 Curry leaves,30 grams Tamarind,1/4 teaspoon Mustard seeds,2 Dry Red Chillies,3-4 Curry leaves,1 teaspoon Sunflower Oil,Salt - to taste",http://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney
Dalia Pakora Recipe - Dalia Pakora Recipe,Vegetarian,10,15,Snack,Indian,"1 cup Broken Wheat (Dalia/ Godumai Rava),Salt - to taste,1/2 teaspoon Sunflower Oil,1/3 cup Gram flour (besan),1 Onion - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1 tablespoon Sunflower Oil,Water - as required to make a thick pakora batter,1 teaspoon Enos fruit salt,Sunflower Oil - as required to fry the pakoras",https://www.archanaskitchen.com/dalia-pakora-recipe-broken-wheat-pakora-in-hindi
Paneer Tikka Saddle Roll Recipe,Vegetarian,30,30,Snack,Bengali Recipes,"2 cups Whole Wheat Flour,Salt - to taste,Ghee - for cooking,1 tablespoon Ghee - for cooking,200 grams Paneer (Homemade Cottage Cheese) - thinly sliced,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Gram flour (besan),1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Chaat Masala Powder,1 teaspoon Garam masala powder,1/4 cup Mint Leaves (Pudina) - finely chopped,Salt - to taste,1 Coal - for giving a smoked flavour,1/4 cup Mint Leaves (Pudina) - chopped,1 Green Bell Pepper (Capsicum) - thinly sliced,2 Onion - thinly sliced,1/2 Lemon - juice extracted,Salt - to taste",https://www.archanaskitchen.com/paneer-tikka-kathi-roll-recipe
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,Non Vegeterian,10,55,Lunch,South Indian Recipes,"250 grams Fish fillet - basa,250 grams Prawns,15 Clamps,5 Baby Potatoes,2 Carrots (Gajjar),1 Onion,1 Tomato,2 Fresh Red chillies,5 cloves Garlic,1 teaspoon Cumin powder (Jeera),2 teaspoon Paprika powder,Salt - to taste,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,4 tablespoon Coriander (Dhania) Leaves,1 tablespoon Extra Virgin Olive Oil,1 cup Chicken stock,1/4 cup Coconut milk",https://www.archanaskitchen.com/spicy-seafood-stew-casserole-with-tomatoes-and-lime-recipe
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,Vegetarian,15,60,Lunch,Bengali Recipes,"200 grams Paneer (Homemade Cottage Cheese) - cut into cubes,2 Potato (Aloo) - peeled and cut into cubes,2 Bay leaf (tej patta),2 Dry Red Chilli,1 tablespoon Panch Phoran Masala - roasted and powdered,1 Tomato - big sized,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera) - roasted and powdered,1 teaspoon Ginger - grated,Salt - to taste,1/2 teaspoon Sugar,Sunflower Oil - as required",https://www.archanaskitchen.com/chanar-dalna-recipe-bengali-style-paneer-potato-gravy
Cheesy Garlic Broccoli Nuggets Recipe,Eggetarian,20,15,Snack,Indian,"1-1/2 cups Broccoli - florets,1/2 cup Mozzarella cheese,1 tablespoon Nutralite Cheesy Garlic Mayo,2 tablespoons Corn flour,1/4 cup Whole Wheat Bread crumbs,Salt - to taste,Nutralite Garlic & Oregano Spread - for pan roasting",https://www.archanaskitchen.com/broccoli-nuggets-recipe
Bengali radish potato vegetable recipe,Vegetarian,15,20,Lunch,Bengali Recipes,"3 Mooli/ Mullangi (Radish) - cut into small piece,2 Potato (Aloo) - cut into small piece,1 Onion - chopped,1 Green Chilli - chopped,3 tablespoons Kasundi mustard sauce,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Kalonji (Onion Nigella Seeds),1 tablespoon Mustard oil - adjustable,1/2 teaspoon Sugar,Salt - to taste",https://www.archanaskitchen.com/bengali-mooli-aloo-ki-sabzi-in-mustard-gravy-recipe
Beetroot Sambar Recipe,High Protein Vegetarian,10,45,Lunch,South Indian Recipes,"1 chakundar - peel and chop, 1 cup arhar dal, 1-1 / 2 cup tamarind water, 1 tablespoon sambar powder, 1 teaspoon mustard, asafoetida - a pinch, 5 curry leaves - chopped, 1 dry red chili, 1 teaspoon sesame oil, 4 sprig coriander - chopped (for garnish), salt - as per taste",http://www.archanaskitchen.com/beetroot-sambar-recipe-in-hindi
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),High Protein Vegetarian,10,25,Indian Breakfast,North Indian Recipes,"1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis",http://www.archanaskitchen.com/kaddu-palak-roti-recipe-pumpkin-spinach-flat-bread
